Instance,Canonique (C/T),PPV Fixe (C/T),Multi-S (C/T),Tabou Warm (C/T),Tabou Cold (C/T),Vois. Spatial (C/T),Vois. Swap (C/T),Tabou K=10 (C/T),Tabou K=50 (C/T),MEILLEUR COÛT
st70,3410 / 0.00,833 / 0.001,796 / 0.001,695 / 2.00,692 / 0.40,688 / 0.21,782 / 2.87,696 / 0.46,732 / 0.60,688
pr152,160980 / 0.00,87798 / 0.004,79564 / 0.003,76060 / 0.85,757771 / 2.00,75957 / 0.40,79564 / 4.14,75909 / 0.88,77563 / 0.40,75275
pr299,83506 / 0.00,60082 / 0.009,58279 / 0.014,50623 / 2.39,53672 / 4.00,52634 / 0.32,58279 / 11.81,50757 / 1.28,53824 / 0.96,50623
d493,113543 / 0.00,41871 / 0.028,40186 / 0.034,37447 / 1.45,41924 / 5.53,37789 / 1.41,40186 / 16.66,37971 / 1.11,38558 / 0.94,37259
rat783,72134 / 0.001,11122 / 0.081,10540 / 0.144,9390 / 2.03,9744 / 5.78,9454 / 2.47,10540 / 40.09,9384 / 2.98,10164 / 1.09,9384
pr1002,349403 / 0.001,336133 / 0.133,315383 / 0.101,277182 / 1.71,653869 / 18.81,277140 / 1.72,315383 / 31.25,282090 / 1.50,292983 / 2.03,277140
u2319,281496 / 0.001,278897 / 0.675,270418 / 1.009,240934 / 3.66,243191 / 30.02,240775 / 2.28,270418 / 84.74,241787 / 4.66,258018 / 2.51,240775
fnl4461,5872302 / 0.005,222020 / 3.159,221767 / 3.058,196055 / 8.39,237504 / 205.47,197762 / 5.64,221767 / 185.76,197910 / 17.29,212257 / 5.76,195859
pla7397,194900537 / 0.003,28540096 / 7.80,27964226 / 9.92,25710763 / 10.93,0 / 150.73,25824330 / 15.03,27964226 / 341.88,25656302 / 18.56,26770964 / 10.16,25645165
brd14051,23587594 / 0.010,584252 / 24.72,572574 / 25.62,506905 / 88.40,2101604 / 2417.4,512162 / 51.67,572574 / 743.91,510720 / 50.25,544467 / 34.48,506905